epsilon,theta12,theta23,theta13,theta12_deg,theta23_deg,theta13_deg,score
0.01,0.01,0.0001,1.0000000000000002e-06,0.5729577951308232,0.005729577951308232,5.729577951308233e-05,0.048856853001
0.01430379746835443,0.01430379746835443,0.0002045986220157026,2.926537251617012e-06,0.8195472259466206,0.011722637535692167,0.00016767823310547025,0.04699875967053347
0.01860759493670886,0.01860759493670886,0.0003462425893286333,6.442741852064442e-06,1.066136656762418,0.019838239056212084,0.00036914191661559194,0.04517463493680583
0.02291139240506329,0.02291139240506329,0.0005249319019387918,1.2026920791255865e-05,1.3127260875782152,0.03007638251286797,0.0006890918018771016,0.04338450697998016
0.02721518987341772,0.02721518987341772,0.0007406665598461785,2.0157381059104857e-05,1.5593155183940126,0.042437067905659834,0.0011549328607236538,0.041628412257892926
0.03151898734177215,0.03151898734177215,0.000993446563050793,3.1312429645524996e-05,1.8059049492098098,0.05692029523458768,0.0017940700649889028,0.03990639552812435
0.03582278481012658,0.03582278481012658,0.0012832719115526356,4.597037354042986e-05,2.0524943800256072,0.07352606449965149,0.002633908386506503,0.038218509874644195
0.04012658227848101,0.04012658227848101,0.0016101426053517062,6.460951973373302e-05,2.2990838108414042,0.09225437570085128,0.0037018527971101087,0.036564816739033265
0.04443037974683544,0.04443037974683544,0.001974058644448005,8.770817521534806e-05,2.5456732416572017,0.11310522883818706,0.005025308268633374,0.0349453859562803
0.04873417721518987,0.04873417721518987,0.0023750200288415314,0.00011574464697518855,2.792262672472999,0.1360786239116588,0.006631679772909954,0.03336029579515452
0.0530379746835443,0.0530379746835443,0.002813026758532286,0.00014919724200316808,3.0388521032887965,0.16117456092126653,0.008548372281773502,0.03180963300315368
0.05734177215189873,0.05734177215189873,0.0032880788335202687,0.0001885442672892002,3.2854415341045935,0.18839303986701023,0.010802790767057674,0.030293492856027695
0.06164556962025316,0.06164556962025316,0.003800176253805479,0.0002342640298231985,3.532030964920391,0.2177340607488899,0.013422340200596123,0.028811979211877777
0.06594936708860759,0.06594936708860759,0.004349319019387917,0.00028683483659507655,3.7786203957361884,0.24919762356690553,0.016434425554222504,0.027365204569831224
0.07025316455696201,0.07025316455696201,0.004935507130267584,0.0003467349945947479,4.025209826551985,0.28278372832105714,0.019866451799770465,0.025953290133291593
0.07455696202531643,0.07455696202531643,0.005558740586444477,0.00041444281081212604,4.271799257367782,0.31849237501134464,0.023745823909073663,0.024576365877764614
0.07886075949367087,0.07886075949367087,0.0062190193879186,0.0004904365922371249,4.51838868818358,0.3563235636377683,0.02809994685396577,0.02323457062325952
0.08316455696202531,0.08316455696202531,0.006916343534689952,0.000575194645859658,4.764978118999378,0.3962772942003279,0.032956225606280434,0.02192805211126596
0.08746835443037973,0.08746835443037973,0.007650713026758529,0.0006691952786696383,5.011567549815174,0.4383535666990234,0.03834206513785128,0.020656967086306533
0.09177215189873415,0.09177215189873415,0.008422127864124334,0.0007729167976569799,5.258156980630972,0.4825523811338548,0.04428487042051198,0.019421481382064756
0.09607594936708859,0.09607594936708859,0.00923058804678737,0.0008868375098115966,5.504746411446769,0.5288737375048224,0.05081204642609622,0.01822177001208863
0.10037974683544303,0.10037974683544303,0.010076093574747634,0.0010114357221234016,5.7513358422625664,0.577317635811926,0.05795099812643762,0.0170580172650699
0.10468354430379745,0.10468354430379745,0.010958644448005123,0.0011471897415823082,5.997925273078364,0.6278840760551653,0.06572913049336981,0.01593041680469856
0.10898734177215187,0.10898734177215187,0.01187824066655984,0.0012945778751782303,6.24451470389416,0.6805730582345406,0.07417384849872649,0.014839171774093234
0.11329113924050631,0.11329113924050631,0.012834882230411787,0.001454078429901082,6.491104134709958,0.735384582350052,0.08331255711434134,0.013784494904806871
0.11759493670886075,0.11759493670886075,0.013828569139560964,0.0016261697127407766,6.737693565525756,0.7923186484016995,0.09317266131204795,0.012766608630408134
0.12189873417721517,0.12189873417721517,0.014859301394007365,0.0018113300306872265,6.984282996341553,0.8513752563894827,0.10378156606367997,0.01178574520463827
0.1262025316455696,0.1262025316455696,0.015927078993751,0.002010037690730347,7.23087242715735,0.9125544063134023,0.11516667634107113,0.010842146824143542
0.13050632911392404,0.13050632911392404,0.01703190193879186,0.0022227709998600513,7.477461857973148,0.9758560981734576,0.12735539711605504,0.00993606575578325
0.13481012658227848,0.13481012658227848,0.018173770229129946,0.002450008265066252,7.724051288788946,1.041280331969649,0.14037513336046534,0.009067764468513245
0.1391139240506329,0.1391139240506329,0.019352683864765255,0.002692227793338862,7.970640719604742,1.108827107701976,0.1542532900461356,0.008237515769845043
0.14341772151898732,0.14341772151898732,0.020568642845697798,0.002949907891667798,8.217230150420539,1.178496425370439,0.1690172721448997,0.0074456029468804655
0.14772151898734176,0.14772151898734176,0.021821647171927572,0.0032235268670429713,8.463819581236338,1.2502882849750385,0.18469448462859112,0.0066923199119218405
0.1520253164556962,0.1520253164556962,0.02311169684345457,0.003513563026454296,8.710409012052136,1.3242026865157739,0.2013123324690436,0.005977971352657751
0.15632911392405063,0.15632911392405063,0.0244387918602788,0.003820494676891686,8.956998442867933,1.4002396299926452,0.21889822063809075,0.005302872886924341
0.16063291139240504,0.16063291139240504,0.025802932222400248,0.004144800125345053,9.203587873683729,1.478399115405652,0.2374795541075661,0.004667351222042167
0.16493670886075948,0.16493670886075948,0.027204117929818934,0.004486957678804313,9.450177304499526,1.558681142754795,0.25708373784930355,0.004071744318728588
0.16924050632911392,0.16924050632911392,0.028642348982534847,0.004847445644259378,9.696766735315324,1.6410857120400744,0.27773817683513663,0.003516401559585752
0.17354430379746832,0.17354430379746832,0.030117625380547977,0.005226742328700161,9.943356166131121,1.725612823261489,0.2994702760368989,0.0030016839221640827
0.17784810126582276,0.17784810126582276,0.031629947123858346,0.005625326039116579,10.189945596946918,1.81226247641904,0.32230744042642423,0.0025279641566013354
0.1821518987341772,0.1821518987341772,0.03317931421246594,0.006043675082498543,10.436535027762716,1.9010346715127273,0.3462770749755461,0.0020956269678372268
0.18645569620253163,0.18645569620253163,0.03476572664637077,0.0064822677658359674,10.683124458578513,1.9919294085425507,0.3714065846560983,0.0017050692024035826
0.19075949367088607,0.19075949367088607,0.036389184425572825,0.006941582396118765,10.92971388939431,2.0849466875085096,0.39772337443991446,0.0013567000397900564
0.19506329113924048,0.19506329113924048,0.03804968755007209,0.0074220972803368465,11.176303320210108,2.180086508410604,0.4252548492988279,0.0010509411883853972
0.19936708860759492,0.19936708860759492,0.039747236019868605,0.007924290725480131,11.422892751025906,2.2773488712488352,0.45402841420467277,0.0007882270859942579
0.20367088607594935,0.20367088607594935,0.04148182983496234,0.008448641038538532,11.669482181841703,2.3767337760232023,0.48407147412928253,0.000569005104929577
0.20797468354430376,0.20797468354430376,0.043253468995353296,0.008995626526501956,11.916071612657499,2.478241222733705,0.5154114340444906,0.00039373576168049026
0.2122784810126582,0.2122784810126582,0.04506215350104149,0.009565725496360325,12.162661043473296,2.5818712113803435,0.5480756989221311,0.00026289293115580175
0.21658227848101264,0.21658227848101264,0.04690788335202691,0.010159416255103549,12.409250474289093,2.687623741963119,0.5820916737340375,0.00017696406550301284
0.22088607594936707,0.22088607594936707,0.04879065854830956,0.010777177109721542,12.655839905104893,2.7954988144820296,0.6174867634520432,0.00013645041750289265
0.2251898734177215,0.2251898734177215,0.05071047908988944,0.011419486367204216,12.90242933592069,2.905496428937077,0.6542883730479823,0.00014186726853960578
0.22949367088607592,0.22949367088607592,0.05266734497676653,0.012086822334541482,13.149018766736486,3.0176165853282586,0.6925239074936876,0.00019374416114638905
0.23379746835443035,0.23379746835443035,0.05466125620894086,0.012779663318723261,13.395608197552283,3.1318592836555776,0.7322207717609939,0.00029262513612678354
0.2381012658227848,0.2381012658227848,0.05669221278641243,0.013498487626739464,13.64219762836808,3.248224523919033,0.7734063708217342,0.00043906897425141243
0.2424050632911392,0.2424050632911392,0.0587602147091812,0.014243773565579997,13.888787059183878,3.3667123061186226,0.8161081096477419,0.0006336494425303136
0.24670886075949364,0.24670886075949364,0.06086526197724722,0.015015999442234787,14.135376489999675,3.4873226302543494,0.8603533932108515,0.0008769555450608292
0.2510126582278481,0.2510126582278481,0.06300735459061046,0.01581564356369374,14.381965920815473,3.6100554963262126,0.906169626482896,0.001169591778451033
0.2553164556962025,0.2553164556962025,0.06518649254927092,0.016643184236946763,14.628555351631269,3.7349109043342104,0.953584214435709,0.0015121783918187193
0.25962025316455695,0.25962025316455695,0.06740267585322864,0.01749909976898379,14.875144782447068,3.861888854278346,1.0026245620411252,0.001905351651365954
0.26392405063291136,0.26392405063291136,0.06965590450248356,0.018383868466794708,15.121734213262863,3.9909893461586163,1.0533180742709765,0.0023497641095291373
0.26822784810126576,0.26822784810126576,0.0719461784970357,0.019297968637369444,15.36832364407866,4.122212379975022,1.1056921560970974,0.002846084878704674
0.27253164556962023,0.27253164556962023,0.0742734978368851,0.020241878587697926,15.61491307489446,4.255557955727565,1.1597742124913226,0.003394999909550162
0.27683544303797464,0.27683544303797464,0.0766378625220317,0.021216076624770038,15.861502505710256,4.391026073416243,1.2155916484254838,0.003997212273861106
0.2811392405063291,0.2811392405063291,0.07903927255247556,0.02222104105557572,16.108091936526055,4.528616733041059,1.2731718688714166,0.004653442452023266
0.2854430379746835,0.2854430379746835,0.08147772792821661,0.023257250187104866,16.35468136734185,4.668329934602009,1.332542278800953,0.005364428625040447
0.2897468354430379,0.2897468354430379,0.08395322864925489,0.024325182326347394,16.601270798157646,4.810165678099095,1.3937302831859273,0.006130926971137951
0.2940506329113924,0.2940506329113924,0.08646577471559044,0.025425315780293237,16.847860228973445,4.954123963532318,1.456763286998174,0.0069537119669415125
0.2983544303797468,0.2983544303797468,0.08901536612722317,0.026558128855932277,17.09444965978924,5.1002047909016754,1.521668695209525,0.007833576693231752
0.30265822784810126,0.30265822784810126,0.09160200288415317,0.02772409986025446,17.34103909060504,5.248408160207171,1.588473912791816,0.008771333145274323
0.30696202531645567,0.30696202531645567,0.09422568498638037,0.028923707100249666,17.58762852142084,5.398734071448801,1.6572063447168786,0.009767812547725416
0.3112658227848101,0.3112658227848101,0.09688641243390479,0.030157428882907827,17.834217952236635,5.551182524626567,1.7278933959565475,0.010823865674113002
0.31556962025316454,0.31556962025316454,0.09958418522672648,0.031425743515218874,18.080807383052434,5.70575351974047,1.8005624714826571,0.011940363170893507
0.31987341772151895,0.31987341772151895,0.10231900336484535,0.03272912930417268,18.32739681386823,5.862447056790508,1.8752409762670394,0.01311819588608402
0.32417721518987336,0.32417721518987336,0.10509086684826145,0.03406806455675918,18.573986244684026,6.021263135776681,1.9519563152815287,0.014358275202470206
0.3284810126582278,0.3284810126582278,0.10789977567697483,0.03544302757996831,18.820575675499825,6.182201756698992,2.03073589349796,0.015661533375389614
0.33278481012658223,0.33278481012658223,0.1107457298509854,0.03685449668078994,19.06716510631562,6.345262919557438,2.1116071158881646,0.017028923875090543
0.33708860759493664,0.33708860759493664,0.11362872937029318,0.03830295016621401,19.313754537131416,6.51044662435202,2.1945973874239777,0.01846142173366662
0.3413924050632911,0.3413924050632911,0.11654877423489823,0.03978886634323044,19.560343967947215,6.677752871082739,2.2797341130772337,0.019960023896566734
0.3456962025316455,0.3456962025316455,0.11950586444480048,0.04131272351882912,19.80693339876301,6.847181659749593,2.3670446978197637,0.02152574957868061
0.35,0.35,0.12249999999999998,0.04287499999999999,20.05352282957881,7.018732990352584,2.456556546623404,0.023159640624999988
