N_gen,winding,asym,noise_strength,T_STEPS,N_MONTE,kappa0,tau_decoh_mean,tau_decoh_std,final_survival_mean,final_survival_std
5,12,0.07,0.001,300,30,1.3170850029357548,294.8666666666667,33.029010817091624,0.8495756610719226,0.11246108277339584
5,12,0.1,0.001,300,30,1.3716416680570218,301.0,0.0,0.8860717869653734,0.10284437922501141
6,-12,-0.1,0.001,300,30,1.2867071197399955,301.0,0.0,0.9004034945398112,0.10601434546338727
6,-12,-0.07,0.001,300,30,1.2546353150010547,301.0,0.0,0.884006612480969,0.09347863159282006
6,-12,-0.03,0.001,300,30,1.2376146550742364,301.0,0.0,0.922516459053853,0.045676305404843305
6,-12,0.0,0.001,300,30,1.2445941010605166,301.0,0.0,0.8372214686138876,0.08863788008385243
6,-12,0.03,0.001,300,30,1.2726682007092591,301.0,0.0,0.9353860620841759,0.038990677084845195
6,-12,0.07,0.001,300,30,1.334918089538806,301.0,0.0,0.9676166027227796,0.01419542975552702
6,-12,0.1,0.001,300,30,1.3944320612228978,301.0,0.0,0.9687036182947858,0.01287793781436892
6,-10,-0.1,0.001,300,30,4.268563948507315,301.0,0.0,0.9843027986721922,0.007707656061436983
6,-10,-0.07,0.001,300,30,4.122915386099744,301.0,0.0,0.9704097342332785,0.013695310883863965
6,-10,-0.03,0.001,300,30,3.9586494764298,301.0,0.0,0.8922546965633703,0.07453515433763193
6,-10,0.0,0.001,300,30,3.8975985289878046,301.0,0.0,0.8935894010146463,0.057079000334421946
6,-10,0.03,0.001,300,30,3.892086489784478,301.0,0.0,0.9216992109858493,0.05153867857992305
6,-10,0.07,0.001,300,30,3.912330017649822,301.0,0.0,0.960542398566498,0.029694502996320635
6,-10,0.1,0.001,300,30,3.9351724392376854,301.0,0.0,0.9738212886699225,0.017250211557586423
6,-8,-0.1,0.001,300,30,35.62441032145169,301.0,0.0,0.9941332670697864,0.0033120855833293048
6,-8,-0.07,0.001,300,30,34.43943245322543,301.0,0.0,0.9879692022965164,0.008766967899805796
6,-8,-0.03,0.001,300,30,33.14703238087273,301.0,0.0,0.9511561924459231,0.0428354484037486
6,-8,0.0,0.001,300,30,32.779939750089014,301.0,0.0,0.9565693704599532,0.03947465502181406
6,-8,0.03,0.001,300,30,32.67057005498297,301.0,0.0,0.981258376563596,0.011366857449483908
6,-8,0.07,0.001,300,30,32.65201501106087,301.0,0.0,0.9830881236984299,0.015345093174354524
6,-8,0.1,0.001,300,30,32.71239156986734,301.0,0.0,0.9855832734713935,0.009105735869766658
6,-6,-0.1,0.001,300,30,149.49038680013993,301.0,0.0,0.9987590518717717,0.0006596282658784062
6,-6,-0.07,0.001,300,30,144.81716912686832,301.0,0.0,0.9985319163354442,0.0007221318755201818
6,-6,-0.03,0.001,300,30,139.6318342185861,301.0,0.0,0.997925925889456,0.0012143825430790168
6,-6,0.0,0.001,300,30,136.98583803869525,301.0,0.0,0.9978581583217202,0.0013643757985152528
6,-6,0.03,0.001,300,30,135.45931566503225,301.0,0.0,0.9979416380725684,0.0014950694716747998
6,-6,0.07,0.001,300,30,134.49163757988896,301.0,0.0,0.9989632650396785,0.0005112896485127956
6,-6,0.1,0.001,300,30,134.16336171347334,301.0,0.0,0.9984723813777713,0.0009376316001899874
6,6,-0.1,0.001,300,30,149.49038680013993,301.0,0.0,0.9989170432539998,0.0006327926114882134
6,6,-0.07,0.001,300,30,144.81716912686832,301.0,0.0,0.9983685114466662,0.0010483716074838952
6,6,-0.03,0.001,300,30,139.6318342185861,301.0,0.0,0.9980186363523847,0.0014301646187157575
6,6,0.0,0.001,300,30,136.98583803869525,301.0,0.0,0.9974791541269183,0.0017485059379062425
6,6,0.03,0.001,300,30,135.45931566503225,301.0,0.0,0.9977042252620254,0.0016848628205130675
6,6,0.07,0.001,300,30,134.49163757988896,301.0,0.0,0.9982457114692412,0.0008864750596723034
6,6,0.1,0.001,300,30,134.16336171347334,301.0,0.0,0.9987423720284844,0.0005867280922484257
6,8,-0.1,0.001,300,30,35.62441032145169,301.0,0.0,0.9930749114827244,0.0037018534969797618
6,8,-0.07,0.001,300,30,34.43943245322543,301.0,0.0,0.9891263437557473,0.007690877592753151
6,8,-0.03,0.001,300,30,33.14703238087273,301.0,0.0,0.9236340422234487,0.08012927925265856
6,8,0.0,0.001,300,30,32.779939750089014,301.0,0.0,0.968010548029142,0.02198191357099425
6,8,0.03,0.001,300,30,32.67057005498297,301.0,0.0,0.9832317777082268,0.012363392387434736
6,8,0.07,0.001,300,30,32.65201501106087,301.0,0.0,0.9828130817966432,0.012877657512306167
6,8,0.1,0.001,300,30,32.71239156986734,301.0,0.0,0.9796213876482475,0.024150324953846263
6,10,-0.1,0.001,300,30,4.268563948507315,301.0,0.0,0.9808538972286229,0.010574638539981434
6,10,-0.07,0.001,300,30,4.122915386099744,301.0,0.0,0.9748189911216449,0.012911057733001684
6,10,-0.03,0.001,300,30,3.9586494764298,301.0,0.0,0.9245424757206125,0.04845525517420152
6,10,0.0,0.001,300,30,3.8975985289878046,301.0,0.0,0.8971015461544274,0.0610991095553267
6,10,0.03,0.001,300,30,3.892086489784478,301.0,0.0,0.9296987398522414,0.04846404923082756
6,10,0.07,0.001,300,30,3.912330017649822,301.0,0.0,0.967004460993606,0.02805089922251436
6,10,0.1,0.001,300,30,3.9351724392376854,301.0,0.0,0.9742227023985295,0.02337505400459553
6,12,-0.1,0.001,300,30,1.2867071197399955,301.0,0.0,0.9358698333894292,0.04757465920292989
6,12,-0.07,0.001,300,30,1.2546353150010547,301.0,0.0,0.9138119977524627,0.062336111910654475
6,12,-0.03,0.001,300,30,1.2376146550742364,301.0,0.0,0.9284049240729413,0.03624131862955569
6,12,0.0,0.001,300,30,1.2445941010605166,301.0,0.0,0.8359311198152789,0.09359171702363078
6,12,0.03,0.001,300,30,1.2726682007092591,301.0,0.0,0.9118383302026328,0.048697751276788756
6,12,0.07,0.001,300,30,1.334918089538806,301.0,0.0,0.9577942689055122,0.02199490330058152
6,12,0.1,0.001,300,30,1.3944320612228978,301.0,0.0,0.9669941966910224,0.012675451276690551
7,-12,-0.1,0.001,300,30,1.2961410767607,301.0,0.0,0.9266380965353181,0.052061912448792
7,-12,-0.07,0.001,300,30,1.256748856266263,297.8666666666667,16.873516395688114,0.8585977384268518,0.14173836075916163
7,-12,-0.03,0.001,300,30,1.2385839083154386,301.0,0.0,0.833500818663705,0.08480928750842491
7,-12,0.0,0.001,300,30,1.2457608224165608,301.0,0.0,0.8049391931964828,0.08246454716316264
7,-12,0.03,0.001,300,30,1.2743134240750322,301.0,0.0,0.8932715014168463,0.07856937755918801
7,-12,0.07,0.001,300,30,1.338296705701478,301.0,0.0,0.9565387385693591,0.023430860660395438
7,-12,0.1,0.001,300,30,1.399959682900683,301.0,0.0,0.9629426598256945,0.015296159714964121
7,-10,-0.1,0.001,300,30,6.125325931923946,301.0,0.0,0.9591724521162501,0.04800446249445989
7,-10,-0.07,0.001,300,30,5.941602398202475,301.0,0.0,0.9706290663953346,0.015955926358029435
7,-10,-0.03,0.001,300,30,5.746877840599791,301.0,0.0,0.9570437313148799,0.024512585517436215
7,-10,0.0,0.001,300,30,5.649823680276179,301.0,0.0,0.9386012808318885,0.0458221699310667
7,-10,0.03,0.001,300,30,5.5990350038367,301.0,0.0,0.962460485992927,0.013952664090424307
7,-10,0.07,0.001,300,30,5.587602261580803,301.0,0.0,0.9732454279775868,0.011983006484483718
7,-10,0.1,0.001,300,30,5.603382630399723,301.0,0.0,0.9801701336635827,0.011109808730089703
7,-8,-0.1,0.001,300,30,65.1869709679327,301.0,0.0,0.9878929987490338,0.007382218383879087
7,-8,-0.07,0.001,300,30,62.8311175495716,301.0,0.0,0.9831445033009687,0.008226641903001366
7,-8,-0.03,0.001,300,30,60.02315497226101,301.0,0.0,0.9426769574542598,0.034132908128100464
7,-8,0.0,0.001,300,30,58.607263779791914,299.43333333333334,8.436758197844057,0.7852911566067358,0.15283762648204569
7,-8,0.03,0.001,300,30,58.51342633745621,301.0,0.0,0.9533120738759415,0.03107568982176627
7,-8,0.07,0.001,300,30,58.63675450139094,301.0,0.0,0.9796152001551159,0.01727394510383643
7,-8,0.1,0.001,300,30,58.80311266757384,301.0,0.0,0.9893287086942267,0.00878836925834429
7,-6,-0.1,0.001,300,30,171.25271853239823,301.0,0.0,0.9962181856981985,0.00269790813651295
7,-6,-0.07,0.001,300,30,165.02078312492938,301.0,0.0,0.9961112719240965,0.0027145705298595975
7,-6,-0.03,0.001,300,30,158.23823973857304,301.0,0.0,0.9928381404168776,0.005010980512662462
7,-6,0.0,0.001,300,30,155.13857974309173,301.0,0.0,0.9845516354988259,0.008959315645528302
7,-6,0.03,0.001,300,30,153.4784763340595,301.0,0.0,0.993467816960237,0.003918608722993657
7,-6,0.07,0.001,300,30,152.34317808727764,301.0,0.0,0.9963138557977154,0.002071692524030281
7,-6,0.1,0.001,300,30,151.88433769803032,301.0,0.0,0.9979060440669386,0.0013973014035496803
7,6,-0.1,0.001,300,30,171.25271853239823,301.0,0.0,0.9965140705666061,0.0031055025288573303
7,6,-0.07,0.001,300,30,165.02078312492938,301.0,0.0,0.9951719062849216,0.003878177554545782
7,6,-0.03,0.001,300,30,158.23823973857304,301.0,0.0,0.9906033856727251,0.008004909563359409
7,6,0.0,0.001,300,30,155.13857974309173,301.0,0.0,0.9840889436781767,0.01473203913714177
7,6,0.03,0.001,300,30,153.4784763340595,301.0,0.0,0.9917492142516392,0.005535311383607147
7,6,0.07,0.001,300,30,152.34317808727764,301.0,0.0,0.9965777906887813,0.002259464619850462
7,6,0.1,0.001,300,30,151.88433769803032,301.0,0.0,0.9977544410076162,0.0012898578813045698
7,8,-0.1,0.001,300,30,65.1869709679327,301.0,0.0,0.9882327731706649,0.006212765669021958
7,8,-0.07,0.001,300,30,62.8311175495716,301.0,0.0,0.9806267154979139,0.01124608564460562
7,8,-0.03,0.001,300,30,60.02315497226101,301.0,0.0,0.9432257295010494,0.04081126348689414
7,8,0.0,0.001,300,30,58.607263779791914,292.6666666666667,44.87637339278754,0.8118124362781491,0.14950529564206608
7,8,0.03,0.001,300,30,58.51342633745621,301.0,0.0,0.9607535859866166,0.026800669366791263
7,8,0.07,0.001,300,30,58.63675450139094,301.0,0.0,0.9836285447846826,0.01124015292438102
7,8,0.1,0.001,300,30,58.80311266757384,301.0,0.0,0.9895726184652628,0.007684031892376268
7,10,-0.1,0.001,300,30,6.125325931923946,301.0,0.0,0.9659792159261273,0.016838423134176942
7,10,-0.07,0.001,300,30,5.941602398202475,301.0,0.0,0.9728752540197736,0.016788419109161755
7,10,-0.03,0.001,300,30,5.746877840599791,301.0,0.0,0.9609312049246806,0.017228593933032464
7,10,0.0,0.001,300,30,5.649823680276179,301.0,0.0,0.9517626471454345,0.024280446973695354
7,10,0.03,0.001,300,30,5.5990350038367,301.0,0.0,0.9644255531167386,0.014080543946875902
7,10,0.07,0.001,300,30,5.587602261580803,301.0,0.0,0.9726382671528296,0.013380575648406565
7,10,0.1,0.001,300,30,5.603382630399723,301.0,0.0,0.9760999576810258,0.011323406213376307
7,12,-0.1,0.001,300,30,1.2961410767607,301.0,0.0,0.9312957048129661,0.07685661491216551
7,12,-0.07,0.001,300,30,1.256748856266263,301.0,0.0,0.906803441785812,0.04415969119165673
7,12,-0.03,0.001,300,30,1.2385839083154386,301.0,0.0,0.8553711736823668,0.07388513819719504
7,12,0.0,0.001,300,30,1.2457608224165608,301.0,0.0,0.8147835659338765,0.07482972963866381
7,12,0.03,0.001,300,30,1.2743134240750322,301.0,0.0,0.9091335447699972,0.04977825914063513
7,12,0.07,0.001,300,30,1.338296705701478,301.0,0.0,0.944530780763721,0.02386109867086671
7,12,0.1,0.001,300,30,1.399959682900683,301.0,0.0,0.954388830332669,0.02684875768603466
8,-12,-0.1,0.001,300,30,1.329865749361696,301.0,0.0,0.9536435494225178,0.02254740987213258
8,-12,-0.07,0.001,300,30,1.2914134497865764,301.0,0.0,0.932668785316946,0.05080117351313582
8,-12,-0.03,0.001,300,30,1.276469511516137,301.0,0.0,0.9397086336541113,0.023587650540239
8,-12,0.0,0.001,300,30,1.2875668392046495,301.0,0.0,0.939274304849542,0.029935695351928325
8,-12,0.03,0.001,300,30,1.3168105854547543,301.0,0.0,0.9460284975513282,0.020214547604535196
8,-12,0.07,0.001,300,30,1.3791324437489694,301.0,0.0,0.9481136110219988,0.029503730702426685
8,-12,0.1,0.001,300,30,1.4391823286198266,301.0,0.0,0.9119414974402403,0.07225450341884512
8,-10,-0.1,0.001,300,30,8.051563868601093,301.0,0.0,0.981614568323721,0.005855721406718474
8,-10,-0.07,0.001,300,30,7.7846527968913,301.0,0.0,0.9713479485356825,0.013988603007051502
8,-10,-0.03,0.001,300,30,7.497562765709147,301.0,0.0,0.9206849827503899,0.05650173110090621
8,-10,0.0,0.001,300,30,7.360859565716095,301.0,0.0,0.9102067146169798,0.05635707140631938
8,-10,0.03,0.001,300,30,7.297396588743,301.0,0.0,0.9524409680475955,0.02210794901515336
8,-10,0.07,0.001,300,30,7.287544361003495,301.0,0.0,0.9637075977733703,0.01426565588862668
8,-10,0.1,0.001,300,30,7.308555811281832,301.0,0.0,0.9685137855869023,0.018432033909938337
8,-8,-0.1,0.001,300,30,77.0383844739618,301.0,0.0,0.9914960192547249,0.0044509927381088865
8,-8,-0.07,0.001,300,30,74.18716448390278,301.0,0.0,0.9871808133670117,0.005714873955882205
8,-8,-0.03,0.001,300,30,70.89778608403914,301.0,0.0,0.9788598453635726,0.009279987825862302
8,-8,0.0,0.001,300,30,69.18806258589042,301.0,0.0,0.9666404170687541,0.01723720766731054
8,-8,0.03,0.001,300,30,68.54951205011372,301.0,0.0,0.9731412553436317,0.014455473347514167
8,-8,0.07,0.001,300,30,68.45037802669232,301.0,0.0,0.9848039643185406,0.004865773873699304
8,-8,0.1,0.001,300,30,68.53154730101895,301.0,0.0,0.9893483752071961,0.007499380194653477
8,-6,-0.1,0.001,300,30,180.8283280589511,301.0,0.0,0.9979014307375283,0.0012075082710535608
8,-6,-0.07,0.001,300,30,173.8785907705423,301.0,0.0,0.9954192962079301,0.003326910453872408
8,-6,-0.03,0.001,300,30,165.58699361257513,301.0,0.0,0.9856151641454949,0.012030838460805101
8,-6,0.0,0.001,300,30,161.84326180874137,301.0,0.0,0.9679849967148267,0.02256718104074082
8,-6,0.03,0.001,300,30,160.81846402907615,301.0,0.0,0.9893516941377882,0.00809468314057606
8,-6,0.07,0.001,300,30,160.31084160357673,301.0,0.0,0.9950822659744255,0.004702578524882253
8,-6,0.1,0.001,300,30,160.20281181876862,301.0,0.0,0.9961775629671447,0.0025568717763152092
8,6,-0.1,0.001,300,30,180.8283280589511,301.0,0.0,0.9975492785329005,0.0017444760653208583
8,6,-0.07,0.001,300,30,173.8785907705423,301.0,0.0,0.996510105430665,0.0018494081351810722
8,6,-0.03,0.001,300,30,165.58699361257513,301.0,0.0,0.984888561800373,0.012692737076619692
8,6,0.0,0.001,300,30,161.84326180874137,301.0,0.0,0.9641189849947721,0.04456673332721009
8,6,0.03,0.001,300,30,160.81846402907615,301.0,0.0,0.9892247810910849,0.0070680132120844
8,6,0.07,0.001,300,30,160.31084160357673,301.0,0.0,0.9950078320234496,0.003367571553897492
8,6,0.1,0.001,300,30,160.20281181876862,301.0,0.0,0.9962430225386442,0.00218159765660586
8,8,-0.1,0.001,300,30,77.0383844739618,301.0,0.0,0.9925085244949607,0.002710323163684498
8,8,-0.07,0.001,300,30,74.18716448390278,301.0,0.0,0.9883945179311352,0.00522398634940494
8,8,-0.03,0.001,300,30,70.89778608403914,301.0,0.0,0.9801661636522118,0.010720866299610604
8,8,0.0,0.001,300,30,69.18806258589042,301.0,0.0,0.9542271653082061,0.030885143984804103
8,8,0.03,0.001,300,30,68.54951205011372,301.0,0.0,0.974560309633642,0.01673633031466601
8,8,0.07,0.001,300,30,68.45037802669232,301.0,0.0,0.9837139594380008,0.008096302656980192
8,8,0.1,0.001,300,30,68.53154730101895,301.0,0.0,0.9897765689151925,0.005397759353646025
8,10,-0.1,0.001,300,30,8.051563868601093,301.0,0.0,0.9839997295357069,0.006878923606416083
8,10,-0.07,0.001,300,30,7.7846527968913,301.0,0.0,0.9713920497697276,0.010682994751721093
8,10,-0.03,0.001,300,30,7.497562765709147,301.0,0.0,0.9085716015591928,0.06358401089496632
8,10,0.0,0.001,300,30,7.360859565716095,301.0,0.0,0.9278436452717327,0.039213926388838645
8,10,0.03,0.001,300,30,7.297396588743,301.0,0.0,0.953722901304308,0.020845198885722224
8,10,0.07,0.001,300,30,7.287544361003495,301.0,0.0,0.9638812341151861,0.016165555860092516
8,10,0.1,0.001,300,30,7.308555811281832,301.0,0.0,0.9656061147069195,0.017957071924645657
8,12,-0.1,0.001,300,30,1.329865749361696,301.0,0.0,0.9516870959362074,0.019249710332754886
8,12,-0.07,0.001,300,30,1.2914134497865764,301.0,0.0,0.9466855878669608,0.019920515403142568
8,12,-0.03,0.001,300,30,1.276469511516137,301.0,0.0,0.9373460666279468,0.023720305938769677
8,12,0.0,0.001,300,30,1.2875668392046495,301.0,0.0,0.9401953862313914,0.024261564057305587
8,12,0.03,0.001,300,30,1.3168105854547543,301.0,0.0,0.9383226345144494,0.027536039753449214
8,12,0.07,0.001,300,30,1.3791324437489694,301.0,0.0,0.9384405326687142,0.03275274596493829
8,12,0.1,0.001,300,30,1.4391823286198266,301.0,0.0,0.9161306082307493,0.06418582826876819
