N_gen,eps_H,eps_A,kappa0,width_mean,width_std,max_width_mean,gap_min_mean,final_imag_mean
3,0.001,0.0001,16.8621025075229,3.578363149604674e-17,1.1874872120707918e-18,9.061971110864983e-17,0.7372485748089381,3.6361131988125014e-17
3,0.001,0.0003,16.8621025075229,3.5701573870315876e-17,1.6379322449360777e-18,9.325771055185007e-17,0.7358127084925954,3.355041851681767e-17
3,0.001,0.001,16.8621025075229,3.620517295568576e-17,1.4626648740483748e-18,9.717889120033351e-17,0.7277147305638106,3.467356215998137e-17
3,0.001,0.003,16.8621025075229,3.735589174604699e-17,3.0339727443064176e-18,1.0872373139616989e-16,0.7163156826218293,4.556067146269153e-17
3,0.003,0.0001,16.8621025075229,3.6765381891640654e-17,2.486446291507623e-18,1.0019106918829016e-16,0.71432643982322,3.353937584693478e-17
3,0.003,0.0003,16.8621025075229,3.701395919070662e-17,1.7627020555240835e-18,1.0656461374376497e-16,0.726521111646785,3.9763231059417555e-17
3,0.003,0.001,16.8621025075229,3.6854253649024653e-17,2.8160032045498366e-18,1.0277157648036553e-16,0.7215884236551405,3.495077523068966e-17
3,0.003,0.003,16.8621025075229,3.7320608887129783e-17,3.2170506214090347e-18,1.0775174680312015e-16,0.6907124362303538,2.6182352995372197e-17
3,0.01,0.0001,16.8621025075229,4.115569035039863e-17,4.0621414303095084e-18,1.2098102921357624e-16,0.6372652768707385,4.502688766959551e-17
3,0.01,0.0003,16.8621025075229,4.294213820345374e-17,4.208005801653054e-18,1.3869600265153579e-16,0.646578083217309,4.6825868339222555e-17
3,0.01,0.001,16.8621025075229,4.107670155856229e-17,4.2467363373196495e-18,1.261664710399872e-16,0.6183461471558495,4.2291074224037694e-17
3,0.01,0.003,16.8621025075229,4.123280850390168e-17,3.9869349762903955e-18,1.2778559147777334e-16,0.6080651912788958,4.6147541435185215e-17
4,0.001,0.0001,47.10100408344988,4.664296394895683e-17,1.537612143190646e-18,1.2346740984261775e-16,0.31020144171148945,5.850172446018848e-17
4,0.001,0.0003,47.10100408344988,4.6872387530663423e-17,1.3842880002791525e-18,1.305707766218647e-16,0.30899167387557525,4.730987472426067e-17
4,0.001,0.001,47.10100408344988,4.720910756089131e-17,1.4677738660087335e-18,1.3739404488466517e-16,0.3040588305483101,4.741042353019266e-17
4,0.001,0.003,47.10100408344988,4.80565382852981e-17,2.3026030993574756e-18,1.3382305839450653e-16,0.2931982659144254,4.331927154813596e-17
4,0.003,0.0001,47.10100408344988,4.875247363257548e-17,2.3457876741970407e-18,1.3593480187880322e-16,0.2806023709892812,5.403203194701674e-17
4,0.003,0.0003,47.10100408344988,4.7795437479782386e-17,2.0123793429938516e-18,1.3213531524283004e-16,0.2891500256387605,6.702888953153181e-17
4,0.003,0.001,47.10100408344988,4.821950356195998e-17,2.76802039087013e-18,1.3621188745570758e-16,0.2955450230046461,5.581367793491313e-17
4,0.003,0.003,47.10100408344988,5.012098463956755e-17,3.4248120542321053e-18,1.4018071480402448e-16,0.2701947685619407,4.853605564977753e-17
4,0.01,0.0001,47.10100408344988,5.591033529385678e-17,5.099910308496103e-18,1.602035939215171e-16,0.2502284729339332,6.321353028102268e-17
4,0.01,0.0003,47.10100408344988,5.554703883749667e-17,5.114174814514231e-18,1.597658892816064e-16,0.24958715537891077,6.145815441771399e-17
4,0.01,0.001,47.10100408344988,5.572980915180351e-17,4.900331608611049e-18,1.6698405810448056e-16,0.2256253491518045,5.641368609300566e-17
4,0.01,0.003,47.10100408344988,5.551631164399184e-17,4.465065443083731e-18,1.527857230043269e-16,0.23636323120066552,5.566607001785383e-17
5,0.001,0.0001,120.48090401739432,6.70269516253668e-17,2.5380133108275005e-18,1.7721577575932977e-16,0.15173538250282115,6.766947416840169e-17
5,0.001,0.0003,120.48090401739432,6.724935799776965e-17,1.5872382946615852e-18,1.8525915091080966e-16,0.14921856382885834,6.167037880041379e-17
5,0.001,0.001,120.48090401739432,6.730438371339879e-17,2.358957481166718e-18,1.8273653655135263e-16,0.1482414771689276,7.857242333096334e-17
5,0.001,0.003,120.48090401739432,6.633480803543479e-17,3.648303473636903e-18,1.7394345661432095e-16,0.1316018566546851,6.959752393210446e-17
5,0.003,0.0001,120.48090401739432,6.504966663351382e-17,3.2021880109970633e-18,1.8251239645018627e-16,0.1357980746528816,7.259830712542502e-17
5,0.003,0.0003,120.48090401739432,6.533640558277856e-17,2.1262216315813563e-18,1.706178452364305e-16,0.1355337117531552,6.669610323097834e-17
5,0.003,0.001,120.48090401739432,6.532129022995353e-17,3.213693984099774e-18,1.669898461942835e-16,0.13623772889317762,6.304691231999765e-17
5,0.003,0.003,120.48090401739432,6.429594727794138e-17,3.6583297398164495e-18,1.6346213764941438e-16,0.1119843043053309,6.525729481081621e-17
5,0.01,0.0001,120.48090401739432,6.559553186493444e-17,4.443334525479776e-18,1.7897562447831627e-16,0.09734046670663715,6.619889304047078e-17
5,0.01,0.0003,120.48090401739432,6.45781338758393e-17,3.874449446900967e-18,1.7379884289569953e-16,0.10287072614760875,6.807559004022093e-17
5,0.01,0.001,120.48090401739432,6.495895179178951e-17,4.875932697876831e-18,1.7076562598852447e-16,0.09826486384013619,6.686619656489445e-17
5,0.01,0.003,120.48090401739432,6.573729416860032e-17,3.8033314336679086e-18,1.6761419141006065e-16,0.08354364470827844,7.284213728338459e-17
6,0.001,0.0001,135.45931566503225,6.631264728345495e-17,1.44446681603619e-18,1.571337064546549e-16,0.02968645950226132,6.369171036163352e-17
6,0.001,0.0003,135.45931566503225,6.677800988900096e-17,1.751111819116552e-18,1.555271696685153e-16,0.030646919751843287,6.517791304465258e-17
6,0.001,0.001,135.45931566503225,6.598552829070906e-17,1.8059964219880013e-18,1.542247144439969e-16,0.028197791432399567,7.076901795494622e-17
6,0.001,0.003,135.45931566503225,6.671148016362416e-17,2.1078273970960475e-18,1.5970721964551603e-16,0.02357123562256454,6.282285083884172e-17
6,0.003,0.0001,135.45931566503225,6.652756478424114e-17,2.852817250766025e-18,1.5691724789575056e-16,0.023193546333214198,6.390401234212484e-17
6,0.003,0.0003,135.45931566503225,6.753110273843673e-17,3.3070431292302983e-18,1.5668989535886558e-16,0.023756352915214544,6.142791587928512e-17
6,0.003,0.001,135.45931566503225,6.71292309216398e-17,4.169509847915903e-18,1.5614619032239565e-16,0.01854204216931578,6.34694561640357e-17
6,0.003,0.003,135.45931566503225,6.69183534058962e-17,3.494803031652155e-18,1.5662598642753307e-16,0.018469722126663403,6.769929907792155e-17
6,0.01,0.0001,135.45931566503225,6.729559141191595e-17,2.750266682724549e-18,1.621000963719608e-16,0.024797251833161525,7.305867416462145e-17
6,0.01,0.0003,135.45931566503225,6.671480797129748e-17,4.0607248295667004e-18,1.5526146113450203e-16,0.021218461569576946,7.383888329600681e-17
6,0.01,0.001,135.45931566503225,6.863431577214756e-17,4.245571842399415e-18,1.6125147802091388e-16,0.02167608242802489,7.700513921117685e-17
6,0.01,0.003,135.45931566503225,6.696759167550671e-17,3.62118989646748e-18,1.642495879835018e-16,0.021627175893623434,6.73551270607024e-17
7,0.001,0.0001,153.4784763340595,6.763429339461867e-17,2.492003122949859e-18,1.497979111045674e-16,0.006631876022415164,6.387900716999023e-17
7,0.001,0.0003,153.4784763340595,6.760662129889978e-17,2.9475966973525345e-18,1.4455153616867408e-16,0.007247876875922693,7.145141198963953e-17
7,0.001,0.001,153.4784763340595,6.769705148563934e-17,3.350547711188282e-18,1.5083807460492411e-16,0.007707729105452363,5.96410436786109e-17
7,0.001,0.003,153.4784763340595,6.876152705233983e-17,2.4050376525549975e-18,1.5446243068606447e-16,0.008958266415121038,6.880499156380946e-17
7,0.003,0.0001,153.4784763340595,6.766581828928373e-17,3.043380401495409e-18,1.5235963869919133e-16,0.007455488860575191,6.477845235039657e-17
7,0.003,0.0003,153.4784763340595,6.798032757069722e-17,3.4085379731837424e-18,1.527762255013373e-16,0.00659516155606355,6.327866455194163e-17
7,0.003,0.001,153.4784763340595,6.847772724511699e-17,3.3127936338924785e-18,1.524153944941537e-16,0.007599597304313518,6.786374116402911e-17
7,0.003,0.003,153.4784763340595,6.728157291190773e-17,3.2506967624606473e-18,1.5248390406186926e-16,0.008426498373181261,5.986971195982799e-17
7,0.01,0.0001,153.4784763340595,6.865561558280748e-17,3.2677403994521983e-18,1.52933254727452e-16,0.008478038353624245,7.493583123102827e-17
7,0.01,0.0003,153.4784763340595,6.802768005481248e-17,3.1901771512713815e-18,1.5191327202706526e-16,0.00860846455656567,6.921653252973847e-17
7,0.01,0.001,153.4784763340595,6.912017103399955e-17,3.015467410539164e-18,1.5551255967300514e-16,0.00772581495247527,6.043958677957675e-17
7,0.01,0.003,153.4784763340595,7.005751641819502e-17,3.498218098203023e-18,1.6398017601261893e-16,0.008992154580799255,7.032973383025537e-17
8,0.001,0.0001,160.81846402907615,6.308683950734821e-17,2.9638526050498293e-18,1.313539490987002e-16,0.0015050450560376127,5.197007534985023e-17
8,0.001,0.0003,160.81846402907615,6.472214930142208e-17,2.224944227441335e-18,1.382416346597896e-16,0.0012333559421050509,6.684173561702168e-17
8,0.001,0.001,160.81846402907615,6.463174837762298e-17,2.0319466922758696e-18,1.3270889650021642e-16,0.0014135047912049992,7.058860797493713e-17
8,0.001,0.003,160.81846402907615,6.516752421712795e-17,2.37578760848908e-18,1.381413413092821e-16,0.001760137417491468,6.327678014833297e-17
8,0.003,0.0001,160.81846402907615,6.499847355060155e-17,2.367299791327585e-18,1.377658101534224e-16,0.0018755031877240856,5.632095106934045e-17
8,0.003,0.0003,160.81846402907615,6.511451700213588e-17,1.9982789480595474e-18,1.3711852587283233e-16,0.0016635483662285379,6.464769523448706e-17
8,0.003,0.001,160.81846402907615,6.350001647078186e-17,4.059388798717544e-18,1.375169432455397e-16,0.001918654637664534,6.412713576174947e-17
8,0.003,0.003,160.81846402907615,6.475510109075193e-17,2.6741007519294516e-18,1.4775529408533858e-16,0.002062873080485364,6.68151877564093e-17
8,0.01,0.0001,160.81846402907615,6.889251316630488e-17,2.700103414047363e-18,1.5027816401605964e-16,0.002112366850662782,7.031508276023361e-17
8,0.01,0.0003,160.81846402907615,6.890581796966827e-17,2.5927549487181257e-18,1.498466637377664e-16,0.002036525021568273,6.887553618663212e-17
8,0.01,0.001,160.81846402907615,6.870678815318099e-17,2.529930922425793e-18,1.4661956527536347e-16,0.002064375141935865,6.882451283207552e-17
8,0.01,0.003,160.81846402907615,6.778402737453284e-17,2.5551402870589716e-18,1.4988474808271663e-16,0.002112366850662782,7.004010716282637e-17
